"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"Foglietta Plaza"|"2741585"|"Park"|"Philadelphia"|"PA"|"395641N"|"0750835W"|"13"|"Philadelphia"|""|"10-OCT-2012"
"Fotterall Square"|"1175044"|"Park"|"Philadelphia"|"PA"|"395921N"|"0750904W"|"89"|"Philadelphia"|""|"02-AUG-1979"
"Fox Chase Playground"|"2348354"|"Park"|"Philadelphia"|"PA"|"400423N"|"0750454W"|"203"|"Frankford"|""|"23-AUG-2007"
"Fox Square"|"1175111"|"Park"|"Philadelphia"|"PA"|"395926N"|"0750549W"|"16"|"Camden"|""|"02-AUG-1979"
"Francisville Playground"|"1175131"|"Park"|"Philadelphia"|"PA"|"395806N"|"0751003W"|"102"|"Philadelphia"|""|"02-AUG-1979"
"Frank Glavin Playground"|"2741610"|"Park"|"Philadelphia"|"PA"|"395911N"|"0750605W"|"13"|"Camden"|""|"11-OCT-2012"
"Franklin Field"|"1175151"|"Park"|"Philadelphia"|"PA"|"395659N"|"0751126W"|"39"|"Philadelphia"|""|"02-AUG-1979"
"Franklin Playground"|"1207915"|"Park"|"Philadelphia"|"PA"|"395936N"|"0750659W"|"30"|"Camden"|""|"01-MAR-1990"
"Franklin Square"|"1175177"|"Park"|"Philadelphia"|"PA"|"395719N"|"0750903W"|"39"|"Philadelphia"|""|"02-AUG-1979"
"Gambrell Playground"|"1191275"|"Park"|"Philadelphia"|"PA"|"400049N"|"0750435W"|"33"|"Frankford"|""|"02-AUG-1979"
"Garden Court"|"2741588"|"Park"|"Philadelphia"|"PA"|"395712N"|"0751259W"|"85"|"Philadelphia"|""|"10-OCT-2012"
"Gifford Playground"|"2741605"|"Park"|"Philadelphia"|"PA"|"400655N"|"0750130W"|"220"|"Frankford"|""|"11-OCT-2012"
"Gilbert Stuart Park"|"2741606"|"Park"|"Philadelphia"|"PA"|"400151N"|"0751001W"|"230"|"Germantown"|""|"11-OCT-2012"
"Girard Park"|"1175642"|"Park"|"Philadelphia"|"PA"|"395513N"|"0751101W"|"23"|"Philadelphia"|""|"02-AUG-1979"
